Designator,Mid X,Mid Y,Rotation,Layer
D1,66.0,-108.0,0.0,top
D2,66.0,-96.0,0.0,top
D3,66.0,-84.0,0.0,top
J1,81.96,-118.0,0.0,top
J2,103.5,-74.5,0.0,top
R1,74.54,-66.46,270.0,top
R2,71.54,-66.46,270.0,top
R3,68.54,-66.46,270.0,top
SW1,105.35,-60.75,0.0,top
SW2,84.3,-82.4,0.0,top
U1,79.9,-47.9,0.0,top
